Organization,YearsServed,RoleLength,Age#1_1,Age#1_2,Age#1_3,Age#2_1,Age#2_2,Age#2_3,Gender#1_1,Gender#1_2,Gender#1_3,Gender#2_1,Gender#2_2,Gender#2_3,OtherDem#1_1,OtherDem#1_2,OtherDem#1_3,OtherDem#1_4,OtherDem#1_5,OtherDem#2_1,OtherDem#2_2,OtherDem#2_3,OtherDem#2_4,OtherDem#2_5,SESYouth,SESEmployees,Emotional,Emotional_5_TEXT,EmotionalEorE,EmotionalGap,EmotionalGap_0_TEXT,Physical,Physical_5_TEXT,PhysicalEorE,PhysicalGap,PhysicalGap_0_TEXT,Social,Social_5_TEXT,SocialEorE,SocialGap,SocialGap_0_TEXT,Intellectual,Intellectual_5_TEXT,IntellectualEorE,IntellectualGap,IntellectualGap_0_TEXT,Environmental,Environmental_5_TEXT,EnvironmentalEorE,EnvironmentalGap,EnvironmentalGap_0_TEXT,Occupational,Occupational_6_TEXT,OccupationalEorE,OccupationalGap,OccupationalGap_0_TEXT,Financial,Financial_5_TEXT,FinancialEorE,FinancialGap,FinancialGap_0_TEXT,Spiritual,Spiritual_6_TEXT,SpiritualEorE,SpiritualGap,SpiritualGap_0_TEXT
Organization Name:,How long has your organization been serving youth in the greater Boston area?,How long have you served in this role/title at your organization?,Organization Age Breakdown: - Youth served by your organization - Percentage between the ages of 12-17,Organization Age Breakdown: - Youth served by your organization - Percentage between the ages of 18-25,Organization Age Breakdown: - Youth served by your organization - Percentage over the age of 26,Organization Age Breakdown: - Employees of your organization - Percentage between the ages of 12-17,Organization Age Breakdown: - Employees of your organization - Percentage between the ages of 18-25,Organization Age Breakdown: - Employees of your organization - Percentage over the age of 26,Organization Gender Breakdown: - Youth served by your organization - Percentage that identify as female,Organization Gender Breakdown: - Youth served by your organization - Percentage that identify as male,"Organization Gender Breakdown: - Youth served by your organization - Percentage that identify as another gender identity (nonbinary, agender, gender questioning, gender fluid, gender queer, other)",Organization Gender Breakdown: - Employees of your organization - Percentage that identify as female,Organization Gender Breakdown: - Employees of your organization - Percentage that identify as male,"Organization Gender Breakdown: - Employees of your organization - Percentage that identify as another gender identity (nonbinary, agender, gender questioning, gender fluid, gender queer, other)",Organization Other Demographics Breakdown: - Youth served by your organization - Percentage with one or more disabilities,Organization Other Demographics Breakdown: - Youth served by your organization - Percentage that identify with a religious or spiritual practice,"Organization Other Demographics Breakdown: - Youth served by your organization - Percentage people of color (Arab/Middle Eastern, Asian, Black, Latin/o/x, Native American/Indigenous, Native Hawaiian/Pacific Islander/Multiracial, Other)",Organization Other Demographics Breakdown: - Youth served by your organization - Percentage born in the United States,"Organization Other Demographics Breakdown: - Youth served by your organization - Percentage LGBTQIA+ (Lesbian, Gay, Bisexual, Transgender, Queer or Questioning, Intersex, Asexual/Aromantic/Agender, and other identities)",Organization Other Demographics Breakdown: - Employees of your organization - Percentage with one or more disabilities,Organization Other Demographics Breakdown: - Employees of your organization - Percentage that identify with a religious or spiritual practice,"Organization Other Demographics Breakdown: - Employees of your organization - Percentage people of color (Arab/Middle Eastern, Asian, Black, Latin/o/x, Native American/Indigenous, Native Hawaiian/Pacific Islander/Multiracial, Other)",Organization Other Demographics Breakdown: - Employees of your organization - Percentage born in the United States,"Organization Other Demographics Breakdown: - Employees of your organization - Percentage LGBTQIA+ (Lesbian, Gay, Bisexual, Transgender, Queer or Questioning, Intersex, Asexual/Aromantic/Agender, and other identities)","Below are phrases describing socioeconomic status. What is the socioeconomic status of most (i.e., >51%) of the youth served by your organization?","Below are phrases describing socioeconomic status. What is the socioeconomic status of most (i.e., >51%) of your organization's employees?",What EMOTIONAL support services does your organization provide to youth of color? Select all that apply: - Selected Choice,What EMOTIONAL support services does your organization provide to youth of color? Select all that apply: - Other (please specify): - Text,Is this an emerging or established resource? Note: Established means that this is a core priority for your organization and is part of your mission and vision.,Does your organization want to provide EMOTIONAL support services to youth of color? - Selected Choice,"Does your organization want to provide EMOTIONAL support services to youth of color? - No, please share why: - Text",What PHYSICAL health services does your organization provide to youth of color? Select all that apply: - Selected Choice,What PHYSICAL health services does your organization provide to youth of color? Select all that apply: - Other (please specify) - Text,Is this an emerging or established resource? Note: Established means that this is a core priority for your organization and is part of your mission and vision.,Does your organization want to provide PHYSICAL support services to youth of color? - Selected Choice,"Does your organization want to provide PHYSICAL support services to youth of color? - No, please share why: - Text",What SOCIAL support services does your organization provide to youth of color? Select all that apply: - Selected Choice,What SOCIAL support services does your organization provide to youth of color? Select all that apply: - Other (please specify): - Text,Is this an emerging or established resource? Note: Established means that this is a core priority for your organization and is part of your mission and vision.,Does your organization want to provide SOCIAL support services to youth of color? - Selected Choice,"Does your organization want to provide SOCIAL support services to youth of color? - No, please share why: - Text",What INTELLECTUAL support services does your organization provide to youth of color? Select all that apply: - Selected Choice,What INTELLECTUAL support services does your organization provide to youth of color? Select all that apply: - Other (please specify): - Text,Is this an emerging or established resource? Note: Established means that this is a core priority for your organization and is part of your mission and vision.,Does your organization want to provide INTELLECTUAL support services to youth of color? - Selected Choice,"Does your organization want to provide INTELLECTUAL support services to youth of color? - No, please share why: - Text",What ENVIRONMENTAL health services does your organization provide to youth of color? Select all that apply: - Selected Choice,What ENVIRONMENTAL health services does your organization provide to youth of color? Select all that apply: - Other (please specify): - Text,Is this an emerging or established resource? Note: Established means that this is a core priority for your organization and is part of your mission and vision.,Does your organization want to provide ENVIRONMENTAL support services to youth of color? - Selected Choice,"Does your organization want to provide ENVIRONMENTAL support services to youth of color? - No, please share why - Text",What OCCUPATIONAL services does your organization provide to youth of color? Select all that apply: - Selected Choice,What OCCUPATIONAL services does your organization provide to youth of color? Select all that apply: - Other (please specify): - Text,Is this an emerging or established resource? Note: Established means that this is a core priority for your organization and is part of your mission and vision.,Does your organization want to provide OCCUPATIONAL support services to youth of color? - Selected Choice,"Does your organization want to provide OCCUPATIONAL support services to youth of color? - No, please share why: - Text",What FINANCIAL services does your organization provide to youth of color? Select all that apply: - Selected Choice,What FINANCIAL services does your organization provide to youth of color? Select all that apply: - Other (please specify): - Text,Is this an emerging or established resource? Note: Established means that this is a core priority for your organization and is part of your mission and vision.,Does your organization want to provide FINANCIAL support services to youth of color? - Selected Choice,"Does your organization want to provide FINANCIAL support services to youth of color? - No, please share why - Text",What SPIRITUAL support services does your organization provide to youth of color? Select all that apply: - Selected Choice,What SPIRITUAL support services does your organization provide to youth of color? Select all that apply: - Other (please specify): - Text,Is this an emerging or established resource? Note: Established means that this is a core priority for your organization and is part of your mission and vision.,Does your organization want to provide SPIRITUAL support services to youth of color? - Selected Choice,"Does your organization want to provide SPIRITUAL support services to youth of color? - No, please share why: - Text"
Apprentice Learning ,8+ years,Less than 1 year,A lot (61%-100%),A lot (61%-100%),A lot (61%-100%),Don't know,Don't know,Don't know,A lot (61%-100%),A lot (61%-100%),A lot (61%-100%),A lot (61%-100%),A lot (61%-100%),A lot (61%-100%),A lot (61%-100%),A lot (61%-100%),A lot (61%-100%),A lot (61%-100%),A lot (61%-100%),A lot (61%-100%),A lot (61%-100%),A lot (61%-100%),A lot (61%-100%),A lot (61%-100%),Don't know,Don't know,Other (please specify):,,,,,Other (please specify),,Established,,,Other (please specify):,,Established,,,Other (please specify):,,Established,,,Other (please specify):,,Established,,,Other (please specify):,,Established,,,Other (please specify):,,Established,,,Other (please specify):,,Established,,
Boston Private Industry Council,8+ years,1-3 years,A lot (61%-100%),Some (26%-60%),A little (1%-25%),A little (1%-25%),A little (1%-25%),A lot (61%-100%),Some (26%-60%),Some (26%-60%),Some (26%-60%),Some (26%-60%),A little (1%-25%),A little (1%-25%),Some (26%-60%),Some (26%-60%),Some (26%-60%),Some (26%-60%),Some (26%-60%),A little (1%-25%),Some (26%-60%),Some (26%-60%),A lot (61%-100%),A little (1%-25%),Don't have steady income,Live comfortably,None,,,Yes,,None,,,Yes,,"Mentoring,Family engagement activities,Community events",,Established,,,"Educational workshops, e.g., STEM classes, etc,College readiness programs",,Established,,,None,,,Yes,,"Internships / co-ops,Career counseling,Resume support,Job training",,Established,,,"Budgeting,Assistance with financial aid,Financial literacy workshops",,Established,,,Mindfulness or meditation workshops,,Established,,
Breakthrough Greater Boston,8+ years,Less than 1 year,A lot (61%-100%),A little (1%-25%),None,A little (1%-25%),A little (1%-25%),A lot (61%-100%),Don't know,Don't know,Don't know,A lot (61%-100%),Some (26%-60%),A little (1%-25%),Don't know,Don't know,A lot (61%-100%),Don't know,Don't know,Don't know,Don't know,A lot (61%-100%),Don't know,A little (1%-25%),Live from paycheck to paycheck,Don't know,Counseling services,,Established,,,None,,,"No, please share why:",Not within our model/capasity currently,"Mentoring,Family engagement activities",,Established,,,"Educational workshops, e.g., STEM classes, etc,College readiness programs,Tutoring",,Established,,,None,,,Yes,,"Internships / co-ops,Career counseling,Resume support",,Established,,,"Budgeting,Assistance with financial aid,Financial literacy workshops",,Established,,,Mindfulness or meditation workshops,,Emerging,,
More Than Words,8+ years,1-3 years,A lot (61%-100%),A lot (61%-100%),None,None,A little (1%-25%),A lot (61%-100%),Some (26%-60%),Some (26%-60%),A little (1%-25%),Some (26%-60%),Some (26%-60%),A little (1%-25%),Don't know,Don't know,A lot (61%-100%),A lot (61%-100%),Some (26%-60%),Don't know,Don't know,Some (26%-60%),A lot (61%-100%),Some (26%-60%),Have no current income,Live from paycheck to paycheck,Mental health support groups,,Emerging,,,None,,,Yes,,"Mentoring,Family engagement activities",,Established,,,"Educational workshops, e.g., STEM classes, etc,College readiness programs,Tutoring",,Established,,,None,,,"No, please share why",Due to staff other responsibilities this can be a challenge ,"Career counseling,Resume support,Job training",,Established,,,"Budgeting,Assistance with financial aid,Financial literacy workshops",,Established,,,None,,,"No, please share why:",We support youth who want to find spiritual supports
Boston Project Ministries,8+ years,1-3 years,A lot (61%-100%),Some (26%-60%),A little (1%-25%),None,A lot (61%-100%),Some (26%-60%),Some (26%-60%),Some (26%-60%),A little (1%-25%),A lot (61%-100%),A little (1%-25%),None,A little (1%-25%),Some (26%-60%),A lot (61%-100%),A lot (61%-100%),A little (1%-25%),Don't know,A lot (61%-100%),A lot (61%-100%),Some (26%-60%),A little (1%-25%),Live from paycheck to paycheck,Live from paycheck to paycheck,"Mental health support groups,Crisis intervention,Other (please specify):",Art Healing exercises or workshops ,Established,,,"Nutrition education,Other (please specify)","Food/Grocery and Hot Meals, Clothing",Established,,,"Mentoring,Family engagement activities,Community events,Other (please specify):","Youth Jobs, Teen Focused outings and One-One and group mentoring activities, College and Career Readiness exploration and support",Established,,,"College readiness programs,Tutoring",,Established,,,"Environmental education,Neighborhood clean-ups,Community gardening,Other (please specify):",Neighborhood Beautification through public art.,Established,,,"Internships / co-ops,Career counseling,Resume support,Job training",,Established,,,"Budgeting,Assistance with financial aid,Financial literacy workshops,Other (please specify):",Funds toward a college or career goal ,Emerging,,,"Mindfulness or meditation workshops,Religious support groups/counseling,Physical space to engage in religious practices/reflection,Religious or spiritual themed events,Other (please specify):","Teen Bible Study, Bible literacy and comprehension tools, access to the text itself. Personalized spiritual based check-ins",Established,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Olympics MA,8+ years,1-3 years,Some (26%-60%),Some (26%-60%),A little (1%-25%),None,A little (1%-25%),A lot (61%-100%),Some (26%-60%),A lot (61%-100%),Don't know,A lot (61%-100%),Some (26%-60%),Don't know,A lot (61%-100%),A lot (61%-100%),Some (26%-60%),Some (26%-60%),Don't know,A little (1%-25%),A lot (61%-100%),A little (1%-25%),A lot (61%-100%),A little (1%-25%),Live from paycheck to paycheck,Live comfortably,None,,,"No, please share why:",We focus on physical well being and partner with organizations that can provide other services,"Fitness programs,Nutrition education",,Established,,,"Family engagement activities,Community events",,Established,,,None,,,"No, please share why:",We focus on physical well being and partner with organizations that can provide other services,None,,,"No, please share why",We focus on physical well being and partner with organizations that can provide other services,None,,,Yes,,None,,,"No, please share why",We focus on physical well being and partner with organizations that can provide other services,None,,,"No, please share why:",We focus on physical well being and partner with organizations that can provide other services
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YouthConnect,8+ years,8+ years,A lot (61%-100%),A lot (61%-100%),None,None,None,A lot (61%-100%),Some (26%-60%),A lot (61%-100%),A little (1%-25%),A lot (61%-100%),A little (1%-25%),A little (1%-25%),Some (26%-60%),Some (26%-60%),A lot (61%-100%),A lot (61%-100%),A little (1%-25%),A little (1%-25%),A little (1%-25%),A little (1%-25%),A lot (61%-100%),A little (1%-25%),Don't have steady income,Live comfortably,"Mental health support groups,Crisis intervention,Counseling services",,Established,,,None,,,"No, please share why:","We are mainly a mental health organization. If needed, we make referrals to other services. ","Mentoring,Family engagement activities,Community events,Other (please specify):",We make referrals to services that provide the above supports.,Established,,,None,,,"No, please share why:",we make referrals to services that provide the related support services.,None,,,"No, please share why",we make referrals to the related support services.,Resume support,,Established,,,None,,,"No, please share why",we make referrals to the appropriate resources,Mindfulness or meditation workshops,,Established,,
